           L, mm            z, mm            r, mm            Nx            Ny           rA, Wb             B, T         Bz, T         Br, T         Bn, T         Bt, T           H, A/m       Hz, A/m       Hr, A/m       Hn, A/m       Ht, A/m             m       w, J/m3
               0              -30                0                0               -1                0       2.02855e-6       2.02855e-6                0                0       2.02855e-6          1.61427          1.61427                0                0          1.61427                1       1.63732e-6
               3              -27                0                0               -1                0       2.18536e-6       2.18533e-6      -1.17055e-8       1.17055e-8       2.18533e-6          1.73906          1.73903      -0.00931495       0.00931495          1.73903                1       1.90024e-6
               6              -24                0                0               -1                0       2.65693e-6       2.65678e-6      -2.89938e-8       2.89938e-8       2.65678e-6          2.11432           2.1142       -0.0230725        0.0230725           2.1142                1       2.80881e-6
               9              -21                0                0               -1                0       3.55738e-6       3.55738e-6                0                0       3.55738e-6          2.83088          2.83088                0                0          2.83088                1       5.03526e-6
              12              -18                0                0               -1                0       5.12617e-6       5.12533e-6      -9.28038e-8       9.28038e-8       5.12533e-6          4.07928          4.07861       -0.0738509        0.0738509          4.07861                1       1.04555e-5
              15              -15                0                0               -1                0       8.01634e-6       8.01456e-6      -1.69034e-7       1.69034e-7       8.01456e-6           6.3792          6.37778        -0.134513         0.134513          6.37778                1       2.55689e-5
              18              -12                0                0               -1                0       1.30825e-5       1.30825e-5                0                0       1.30825e-5          10.4107          10.4107                0                0          10.4107                1       6.80989e-5
              21               -9                0                0               -1                0        2.3263e-5       2.32577e-5      -4.96809e-7       4.96809e-7       2.32577e-5          18.5121          18.5079        -0.395348         0.395348          18.5079                1       2.15323e-4
              24               -6                0                0               -1                0       3.99501e-5        3.9938e-5      -9.82169e-7       9.82169e-7        3.9938e-5          31.7913          31.7817        -0.781585         0.781585          31.7817                1       6.35033e-4
              27               -3                0                0               -1                0       6.32232e-5       6.32232e-5                0                0       6.32232e-5          50.3114          50.3114                0                0          50.3114                1       0.00159042
              30     -8.67362e-15                0                0               -1                0       7.90085e-5       7.90085e-5                0                0       7.90085e-5          62.8729          62.8729                0                0          62.8729                1       0.00248375
              33                3                0                0               -1                0       6.32232e-5       6.32232e-5                0                0       6.32232e-5          50.3114          50.3114                0                0          50.3114                1       0.00159042
              36                6                0                0               -1                0       3.99501e-5        3.9938e-5       9.82169e-7      -9.82169e-7        3.9938e-5          31.7913          31.7817         0.781585        -0.781585          31.7817                1       6.35033e-4
              39                9                0                0               -1                0        2.3263e-5       2.32577e-5       4.96809e-7      -4.96809e-7       2.32577e-5          18.5121          18.5079         0.395348        -0.395348          18.5079                1       2.15323e-4
              42               12                0                0               -1                0       1.30825e-5       1.30825e-5                0                0       1.30825e-5          10.4107          10.4107                0                0          10.4107                1       6.80989e-5
              45               15                0                0               -1                0       8.01634e-6       8.01456e-6       1.69034e-7      -1.69034e-7       8.01456e-6           6.3792          6.37778         0.134513        -0.134513          6.37778                1       2.55689e-5
              48               18                0                0               -1                0       5.12617e-6       5.12533e-6       9.28038e-8      -9.28038e-8       5.12533e-6          4.07928          4.07861         0.073851        -0.073851          4.07861                1       1.04555e-5
              51               21                0                0               -1                0       3.55738e-6       3.55738e-6                0                0       3.55738e-6          2.83088          2.83088                0                0          2.83088                1       5.03526e-6
              54               24                0                0               -1                0       2.65694e-6       2.65678e-6       2.89937e-8      -2.89937e-8       2.65678e-6          2.11432           2.1142        0.0230725       -0.0230725           2.1142                1       2.80881e-6
              57               27                0                0               -1                0       2.18536e-6       2.18533e-6       1.17055e-8      -1.17055e-8       2.18533e-6          1.73906          1.73903       0.00931492      -0.00931492          1.73903                1       1.90024e-6
              60               30                0                0               -1                0       2.02856e-6       2.02856e-6                0                0       2.02856e-6          1.61427          1.61427                0                0          1.61427                1       1.63732e-6
