           L, mm            x, mm            y, mm            Nx            Ny             U, V           E, V/m       Ex, V/m       Ey, V/m       En, V/m       Et, V/m       D, C/m2   Dx, C/m2   Dy, C/m2   Dn, C/m2   Dt, C/m2           e,        w, J/m3
               0                0                0                0               -1      9.41433e+10         15059800        -15001400          1324260         -1324260        -15001400       1.33342e-4      -1.32825e-4       1.17252e-5      -1.17252e-5      -1.32825e-4                1          1004.05
            0.05             0.05                0                0               -1      5.39042e+10      3.96339e+14      3.96338e+14     -4.57671e+11      4.57671e+11      3.96338e+14          3509.26          3509.25         -4.05231          4.05231          3509.25                1      6.95427e+17
             0.1              0.1                0                0               -1      4.13349e+10       1.8503e+14       1.8503e+14      4.59992e+10     -4.59992e+10       1.8503e+14          1638.29          1638.29         0.407285        -0.407285          1638.29                1      1.51567e+17
            0.15             0.15                0                0               -1      3.41232e+10       1.2699e+14       1.2699e+14      -6.86528e+9       6.86528e+9       1.2699e+14           1124.4           1124.4       -0.0607865        0.0607865           1124.4                1      7.13937e+16
             0.2              0.2                0                0               -1      2.89651e+10      9.32863e+13      9.32863e+13       4.88392e+9      -4.88392e+9      9.32863e+13          825.974          825.974        0.0432431       -0.0432431          825.974                1       3.8526e+16
            0.25             0.25                0                0               -1      2.48749e+10       7.2658e+13       7.2658e+13       8.85025e+9      -8.85025e+9       7.2658e+13          643.328          643.328        0.0783618       -0.0783618          643.328                1      2.33715e+16
             0.3              0.3                0                0               -1      2.17221e+10      6.14712e+13      6.14712e+13         32515600        -32515600      6.14712e+13          544.277          544.277        0.0002879       -0.0002879          544.277                1      1.67287e+16
            0.35             0.35                0                0               -1      1.89315e+10      5.26675e+13      5.26675e+13      -7.29599e+9       7.29599e+9      5.26675e+13          466.328          466.328          -0.0646           0.0646          466.328                1      1.22801e+16
             0.4              0.4                0                0               -1      1.64838e+10      4.61196e+13      4.61196e+13     -1.32148e+10      1.32148e+10      4.61196e+13          408.351          408.351        -0.117006         0.117006          408.351                1       9.4165e+15
            0.45             0.45                0                0               -1      1.44087e+10      4.10813e+13      4.10813e+13      1.35213e+10     -1.35213e+10      4.10813e+13          363.742          363.742          0.11972         -0.11972          363.742                1       7.4715e+15
             0.5              0.5                0                0               -1      1.24898e+10      3.66758e+13      3.66758e+13       5.3943e+10      -5.3943e+10      3.66758e+13          324.735          324.734         0.477621        -0.477621          324.734                1      5.95496e+15
            0.55             0.55                0                0               -1      1.07884e+10       3.3106e+13      3.31059e+13      5.21169e+10     -5.21169e+10      3.31059e+13          293.127          293.126         0.461453        -0.461453          293.126                1      4.85212e+15
             0.6              0.6                0                0               -1       9.27963e+9      3.02763e+13      3.02762e+13      1.28716e+10     -1.28716e+10      3.02762e+13          268.072          268.072         0.113968        -0.113968          268.072                1       4.0581e+15
            0.65             0.65                0                0               -1       7.77087e+9      2.74466e+13      2.74466e+13     -2.63736e+10      2.63736e+10      2.74466e+13          243.017          243.017        -0.233517         0.233517          243.017                1      3.33499e+15
             0.7              0.7                0                0               -1       6.50769e+9       2.5868e+13       2.5868e+13     -1.08855e+10      1.08855e+10       2.5868e+13           229.04           229.04       -0.0963822        0.0963822           229.04                1      2.96239e+15
            0.75             0.75                0                0               -1       5.26678e+9      2.44028e+13      2.44028e+13        9.5674e+9       -9.5674e+9      2.44028e+13          216.067          216.067        0.0847115       -0.0847115          216.067                1      2.63633e+15
             0.8              0.8                0                0               -1       4.02588e+9      2.29377e+13      2.29377e+13      3.00203e+10     -3.00203e+10      2.29377e+13          203.095          203.095         0.265805        -0.265805          203.095                1      2.32927e+15
            0.85             0.85                0                0               -1        2.9776e+9      2.19408e+13      2.19408e+13      2.75003e+10     -2.75003e+10      2.19408e+13          194.268          194.268         0.243493        -0.243493          194.268                1       2.1312e+15
             0.9              0.9                0                0               -1       1.98507e+9      2.10794e+13      2.10794e+13      1.83336e+10     -1.83336e+10      2.10794e+13          186.641          186.641         0.162329        -0.162329          186.641                1      1.96714e+15
            0.95             0.95                0                0               -1       9.92535e+8       2.0218e+13       2.0218e+13       9.16678e+9      -9.16678e+9       2.0218e+13          179.014          179.014        0.0811644       -0.0811644          179.014                1      1.80965e+15
               1                1                0                0               -1                0      1.93565e+13      1.93565e+13                0                0      1.93565e+13          171.387          171.387                0                0          171.387                1      1.65873e+15
