           L, mm            x, mm            y, mm            Nx            Ny             U, V           E, V/m       Ex, V/m       Ey, V/m       En, V/m       Et, V/m       D, C/m2   Dx, C/m2   Dy, C/m2   Dn, C/m2   Dt, C/m2           e,        w, J/m3
               0                0               -5                1               -0                0      5.64704e+10                0     -5.64704e+10                0     -5.64704e+10              0.5                0             -0.5                0             -0.5                1      1.41176e+10
             0.5     -1.51788e-15             -4.5                1               -0         28235200      5.64704e+10         -4.78233     -5.64704e+10         -4.78233     -5.64704e+10              0.5     -4.23436e-11             -0.5     -4.23436e-11             -0.5                1      1.41176e+10
               1     -3.03577e-15               -4                1               -0         56470500      5.64704e+10         -9.56466     -5.64704e+10         -9.56466     -5.64704e+10              0.5     -8.46873e-11             -0.5     -8.46873e-11             -0.5                1      1.41176e+10
             1.5     -3.03577e-15             -3.5                1               -0         84705700      5.64705e+10          347.263     -5.64705e+10          347.263     -5.64705e+10              0.5       3.07473e-9             -0.5       3.07473e-9             -0.5                1      1.41176e+10
               2     -3.03577e-15               -3                1               -0       1.12941e+8      5.64705e+10          704.091     -5.64705e+10          704.091     -5.64705e+10              0.5       6.23415e-9             -0.5       6.23415e-9             -0.5                1      1.41176e+10
             2.5     -3.03577e-15             -2.5                1               -0       1.41176e+8      5.64705e+10          477.455     -5.64705e+10          477.455     -5.64705e+10              0.5       4.22748e-9             -0.5       4.22748e-9             -0.5                1      1.41176e+10
               3     -3.03577e-15               -2                1               -0       1.69411e+8      5.64705e+10           250.82     -5.64705e+10           250.82     -5.64705e+10              0.5        2.2208e-9             -0.5        2.2208e-9             -0.5                1      1.41176e+10
             3.5     -3.03577e-15             -1.5                1               -0       1.97647e+8      5.64705e+10         -83.0815     -5.64705e+10         -83.0815     -5.64705e+10              0.5     -7.35619e-10             -0.5     -7.35619e-10             -0.5                1      1.41176e+10
               4     -3.03577e-15               -1                1               -0       2.25882e+8      5.64705e+10         -416.983     -5.64705e+10         -416.983     -5.64705e+10              0.5      -3.69204e-9             -0.5      -3.69204e-9             -0.5                1      1.41176e+10
             4.5     -3.03577e-15             -0.5                1               -0       2.54117e+8      5.64705e+10          -493.61     -5.64705e+10          -493.61     -5.64705e+10              0.5      -4.37051e-9             -0.5      -4.37051e-9             -0.5                1      1.41176e+10
               5     -3.03577e-15                0                1               -0       2.82352e+8      5.64705e+10         -570.236     -5.64705e+10         -570.236     -5.64705e+10              0.5      -5.04898e-9             -0.5      -5.04898e-9             -0.5                1      1.41176e+10
             5.5     -2.42861e-15              0.5                1               -0       2.54117e+8      5.64705e+10         -366.345      5.64705e+10         -366.345      5.64705e+10              0.5      -3.24368e-9              0.5      -3.24368e-9              0.5                1      1.41176e+10
               6     -1.82146e-15                1                1               -0       2.25882e+8      5.64705e+10         -162.453      5.64705e+10         -162.453      5.64705e+10              0.5      -1.43839e-9              0.5      -1.43839e-9              0.5                1      1.41176e+10
             6.5     -1.21431e-15              1.5                1               -0       1.97647e+8      5.64705e+10           -89.48      5.64705e+10           -89.48      5.64705e+10              0.5     -7.92273e-10              0.5     -7.92273e-10              0.5                1      1.41176e+10
               7     -6.07153e-16                2                1               -0       1.69411e+8      5.64705e+10         -16.5072      5.64705e+10         -16.5072      5.64705e+10              0.5     -1.46158e-10              0.5     -1.46158e-10              0.5                1      1.41176e+10
             7.5      3.08149e-30              2.5                1               -0       1.41176e+8      5.64705e+10         -73.6473      5.64705e+10         -73.6473      5.64705e+10              0.5     -6.52087e-10              0.5     -6.52087e-10              0.5                1      1.41176e+10
               8      6.07153e-16                3                1               -0       1.12941e+8      5.64705e+10         -130.787      5.64705e+10         -130.787      5.64705e+10              0.5      -1.15802e-9              0.5      -1.15802e-9              0.5                1      1.41176e+10
             8.5      1.21431e-15              3.5                1               -0         84705700      5.64705e+10         -57.8784      5.64705e+10         -57.8784      5.64705e+10              0.5     -5.12466e-10              0.5     -5.12466e-10              0.5                1      1.41176e+10
               9      1.82146e-15                4                1               -0         56470500      5.64705e+10          15.0307      5.64705e+10          15.0307      5.64705e+10              0.5      1.33085e-10              0.5      1.33085e-10              0.5                1      1.41176e+10
             9.5       9.1073e-16              4.5                1               -0         28235200      5.64704e+10          7.51535      5.64704e+10          7.51535      5.64704e+10              0.5      6.65423e-11              0.5      6.65423e-11              0.5                1      1.41176e+10
              10                0                5                1               -0                0      5.64704e+10                0      5.64704e+10                0      5.64704e+10              0.5                0              0.5                0              0.5                1      1.41176e+10
